product_id,brand,product_name,category,sub_category,main_benefit,key_ingredients,description,product_url,image_path,tags,is_active,priority
1,APHerb,EYE REx,Eye & Vision Health,Carotenoid-Based Formula,"Supports visual clarity, comfort, and eye protection","Lutein, Astaxanthin","A natural eye support formula designed to promote visual performance, eye comfort, and long-term retinal health. EYE REx® combines Lutein and Astaxanthin to help support macular health, protect against blue light and oxidative stress, and maintain clear, comfortable vision.",https://www.apherb.com/goods/747/,/aph/eye,"eye health, vision, lutein, astaxanthin, blue light, antioxidants",1,
2,APHerb,GOUT Rex,Joint & Metabolic Health,Herbal Formula,Supports healthy uric acid levels and joint comfort,"Herbal extracts, antioxidants, anti-inflammatory compounds","A targeted herbal formula designed to support healthy uric acid balance, joint comfort, and mobility. GOUT REx® helps promote kidney function, antioxidant protection, healthy inflammatory response, and overall wellness to support an active, comfortable lifestyle.",https://www.apherb.com/goods/757/,/aph/gout,"gout, joints, uric acid, inflammation, mobility, wellness",1,
3,APHerb,MUSCLE Rex,Muscle & Joint Health,Herbal Recovery Formula,"Supports muscle recovery, relaxation, and flexibility",Herbal extracts with anti-inflammatory and antioxidant properties,"A natural herbal formula designed to support muscle recovery, reduce inflammation, and promote relaxation. MUSCLE REx® helps ease muscle soreness, improve circulation, support joint flexibility, and protect muscle cells from oxidative stress for long-term physical wellness.",https://www.apherb.com/goods/745/,/aph/muscle,"muscle, recovery, inflammation, soreness, flexibility, performance",1,
4,APHerb,UTFREx,Urinary & Immune Health,Plant-Based Formula,Supports urinary tract comfort and immune balance,Plant extracts with antioxidant and prebiotic properties,"A plant-based formula designed to support urinary tract health, bladder comfort, and immune balance. UTFREx® provides antioxidant and prebiotic support to help maintain healthy urinary tissues and promote long-term wellness in a gentle, natural way.",https://www.apherb.com/goods/756/,/aph/Utf,"urinary, bladder, immune, antioxidants, prebiotic, wellness",1,
5,APHerb,WBM REx,Prostate & Immune Health,Mushroom & Herbal Formula,Supports prostate health and immune balance,"White Button Mushroom extract, Notoginseng extract","A scientifically formulated blend of White Button Mushroom and Notoginseng extracts designed to support prostate wellness, immune function, and overall vitality. WBM REx® provides antioxidant and anti-inflammatory support as part of a holistic approach to daily wellness.",https://www.apherb.com/goods/746/,/aph/WBM,"prostate, immune, mushroom, notoginseng, antioxidants, wellness",1,
6,APHerb,BLOOD SUGAR REx,Metabolic & Blood Sugar Health,Herbal & Botanical Formula,Supports balanced blood sugar and metabolic wellness,Botanical extracts and antioxidant-rich herbs,"A natural herbal formula designed to support healthy blood sugar balance, metabolic function, and overall wellness. BLOOD SUGAR REx® provides antioxidant and immune support while promoting a healthy inflammatory response as part of a balanced daily routine.",https://www.apherb.com/goods/742/,/aph/blood_sugar,"blood sugar, metabolism, immune, cardiovascular, antioxidants, wellness",1,
7,APHerb,BLOOD PRESSUREx,Cardiovascular Health,Herbal Circulatory Formula,Supports healthy circulation and balanced blood pressure,"Panax Notoginseng (Ginseng Plus®), Salvia Miltiorrhiza","A plant-based circulatory support formula designed to promote healthy blood flow, vascular function, and balanced blood pressure. BLOOD PRESSUREx® combines traditional herbal extracts with antioxidant support to encourage cardiovascular harmony and overall wellness.",https://www.apherb.com/goods/741/,/aph/blood_pressure,"blood pressure, circulation, heart, vascular, antioxidants, wellness",1,
8,APHerb,CHOLESREx,Cardiovascular & Cholesterol Health,Herbal Lipid Support Formula,Supports balanced cholesterol and heart health,"Panax Notoginseng, Hawthorn Berry, Breviscapine","A plant-based formula designed to support healthy cholesterol balance, cardiovascular function, and antioxidant protection. CHOLESREx® combines traditional herbal ingredients with modern research to promote heart health and overall vitality in a vegan-friendly, fish-free supplement.",https://www.apherb.com/goods/743/,/aph/cholesre,"cholesterol, heart, circulation, antioxidants, vegan, wellness",1,
9,APHerb,GUT HEALTH SUPPORT,Digestive Health,Herbal Digestive Formula,Supports digestive comfort and reduces bloating,Herbal digestive blend,"A natural digestive support formula designed to promote gut balance, reduce bloating and gas, and encourage comfortable digestion. Crafted with traditionally used herbal ingredients to support healthy gut flora, digestive harmony, and regular bowel movements for everyday wellness.",https://www.apherb.com/goods/739/,/aph/gut,"digestion, gut, bloating, gas, wellness",1,
,,,,,,,,,/aph/gut,,,
